"Story","Title","Result","Date","Stability","Duration (s)"
"Autentikasi","POST - As a user i have to be able to register","SUCCESS","2022-07-21T16:02:09.5723154+07:00[Asia/Jakarta]","0.0","43.36"
"Autentikasi","POST - As a user i have to be able to login","SUCCESS","2022-07-21T16:02:52.9343539+07:00[Asia/Jakarta]","0.0","4.98"
"Comment","POST - As a user i want to give a comments on a thread","SUCCESS","2022-07-21T16:02:09.0406503+07:00[Asia/Jakarta]","0.0","8.8"
"Comment","Get Comments By id thread","SUCCESS","2022-07-21T16:02:17.8660653+07:00[Asia/Jakarta]","0.0","1.97"
"Comment","Delete comments By Id comments","SUCCESS","2022-07-21T16:02:19.854785+07:00[Asia/Jakarta]","0.0","1.3"
"Following","POST - As a user i am able to follow another account","SUCCESS","2022-07-21T16:02:09.3485505+07:00[Asia/Jakarta]","0.0","10.94"
"Following","GET - As a user i am able to get following by Id following","SUCCESS","2022-07-21T16:02:20.310889+07:00[Asia/Jakarta]","0.0","2.17"
"Following","GET - As a user i am able to get followers of an account","SUCCESS","2022-07-21T16:02:22.490715+07:00[Asia/Jakarta]","0.0","1.71"
"Like Thread","POST - As a user i want to give like on a thread","SUCCESS","2022-07-21T16:02:09.4917793+07:00[Asia/Jakarta]","0.0","9.55"
"thread","POST - As a user i am able to make a thread","SUCCESS","2022-07-21T16:02:09.6003157+07:00[Asia/Jakarta]","0.0","10.73"
"thread","POST - As a user i am not able to make a thread with Invalid Data","SUCCESS","2022-07-21T16:02:20.3478985+07:00[Asia/Jakarta]","0.0","7.5"
"thread","GET - As a user i am able to get detail thread","SUCCESS","2022-07-21T16:02:27.8593987+07:00[Asia/Jakarta]","0.0","2.59"
"thread","GET- As a user i am able to get list all thread","SUCCESS","2022-07-21T16:02:30.4566738+07:00[Asia/Jakarta]","0.0","1.86"
"Topic","GET - As a user i have to be able to get all topic","SUCCESS","2022-07-21T16:02:19.7395182+07:00[Asia/Jakarta]","0.0","0.67"
"Topic","GET - As a user i cannot get list topic with invalid token","SUCCESS","2022-07-21T16:02:20.421007+07:00[Asia/Jakarta]","0.0","0.68"
"Topic","GET - As a user i have to be able to get topic by id","SUCCESS","2022-07-21T16:02:21.1093292+07:00[Asia/Jakarta]","0.0","2.91"
"Topic","PUT - As a user i want to update topic name for thread","SUCCESS","2022-07-21T16:02:24.1374127+07:00[Asia/Jakarta]","0.0","1.61"
"user","GET - As a user i have to be able to get all user","SUCCESS","2022-07-21T16:02:09.4557688+07:00[Asia/Jakarta]","0.0","7.21"
"user","GET - As a user i cannot get all user without token","SUCCESS","2022-07-21T16:02:16.7382943+07:00[Asia/Jakarta]","0.0","1.02"
"user","GET - AS a user i want to get a user detail","SUCCESS","2022-07-21T16:02:17.7980188+07:00[Asia/Jakarta]","0.0","2.11"
"user","GET - As a user i cannot to get a user detail without token","SUCCESS","2022-07-21T16:02:19.9244229+07:00[Asia/Jakarta]","0.0","0.66"
"user","POST - As a user i cannot use post method to get detail user","SUCCESS","2022-07-21T16:02:20.6070859+07:00[Asia/Jakarta]","0.0","0.65"
"user","PUT - As a user i can update my profile","SUCCESS","2022-07-21T16:02:21.2854093+07:00[Asia/Jakarta]","0.0","1.33"
